,salary > 50
0,False
1,False
2,False
3,False
4,False
5,True
6,False
7,True
8,True
9,True
10,False
11,True
12,False
13,False
14,True
15,True
16,True
17,False
18,False
19,True
20,False
21,False
22,False
23,False
24,False
25,False
26,True
27,True
28,False
29,False
30,False
31,False
32,True
33,False
34,False
35,False
36,False
37,False
38,False
39,True
40,True
41,False
42,False
43,False
44,False
45,False
46,True
47,True
48,False
49,False
50,False
51,False
52,True
53,True
54,False
55,True
56,False
57,False
58,True
59,True
60,False
61,False
62,True
63,True
64,False
65,True
66,False
67,False
68,False
69,True
70,True
71,False
72,False
73,False
74,False
75,True
76,True
77,False
78,False
79,False
80,False
81,True
82,True
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,False
92,False
93,True
94,False
95,True
96,True
97,False
98,False
99,False
100,False
101,False
102,False
103,True
104,False
105,False
106,False
107,False
108,False
109,True
110,False
111,False
112,False
113,False
114,True
115,False
116,False
117,False
118,False
119,True
120,False
121,False
122,True
123,False
124,True
125,True
126,False
127,False
128,False
129,True
130,False
131,False
132,True
133,True
134,True
135,False
136,False
137,True
138,False
139,False
140,True
141,True
142,False
143,False
144,False
145,False
146,True
147,False
148,False
149,False
150,True
151,False
152,False
153,False
154,True
155,True
156,False
157,False
158,False
159,False
160,False
161,False
162,True
163,True
164,True
165,False
166,True
167,False
168,False
169,False
170,True
171,True
172,False
173,False
174,True
175,False
176,False
177,False
178,False
179,False
180,False
181,True
182,False
183,False
184,True
185,False
186,True
187,False
188,True
189,False
190,False
191,False
192,False
193,False
194,False
195,True
196,True
197,False
198,False
199,True
200,False
201,False
202,True
203,False
204,False
205,False
206,False
207,True
208,False
209,True
210,False
211,True
212,False
213,False
214,True
215,False
216,False
217,False
218,True
219,True
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,False
229,False
230,False
231,False
232,False
233,True
234,False
235,False
236,False
237,False
238,False
239,False
240,True
241,False
242,False
243,False
244,False
245,False
246,True
247,True
248,False
249,False
250,False
251,False
252,False
253,True
254,False
255,False
256,False
257,False
